entry,defid,word,author,definition,example,thumbs_up,thumbs_down
aathira,7102180,Aathira,urban101,"Aathira, comes from the word, Thiruvathira, It also means full moon
She is a girl, who talks, and when upset she becomes quiet
So many guys like her, but she has picked already one guy, that no one knows about.
She likes guys who can speak for themselves
She is very beautiful, and intelligent just like the Moon.","Oh Look there is a Aathira in the sky tonight!!!

Look how beautiful Aathira looks",17,2
aab,1405809,Aab,Hasse,Is a danish soccer team. located in Nothern Jutland of Denmark. means: Aalborg Boldklub. Translated Aalborg ball club,Aab is the greatest team ever!,36,19
aab,3061141,aab,killahwave,Abbreviation for average at best.,"Despite the hype, the new tom cruise flick is aab.",32,16
aab,2207818,AAB,Lisa Cant,Amazing Asian Beauty.,Wow Jamie is an AAB.,28,19
aab,3993239,Aab,Kylar Stern,A word to describe a feeling of complete joy but at a very sad time.,I was feeling aab at my grandfathers funeral thinking about the times we shared.,11,4
aab,5371118,AABS,SummerSunrise,"Always A [Bitch] Syndrome

Think - Someone with [PMS] not just one week a month, but ALL the time.

When someone is always in a [bad mood] and wants everyone else to be as [cranky] as her/him. This person often does/says mean things to other people in an attempt to get them to feel as bad as him/her.","You: Man, she's [cranky], she must have [PMS] all the time.
Me: No Dude, she has AABS.
You: Ahh, it makes sense now. What a pain.",20,14
aab,7566464,AAB,JayJayS,"Periodic symbol AAB.
Atomic weight, don't ask! Also known to be, Less than average or perfect.

This element is known for its overwhelmingly high amount of protrons and ability to positively charge negative electronics. Any bond formed with AAB is covalent (the strongest) and know if broken will result in the destruction of the other atom.

Only one pure AAB atom is known to exist and bonded with the atom JJS on September 16th 2011. Together they form JJS♡AAB, a form of energy not to be taken lightly having the ability to effect all other elements that come in contact.",I'm so in love with AAB and can't imagine life without out her.,3,4
aab,3112001,AAB,Leanin,Commonly known as the Ascot Ass&Balls. When you shove your balls up your asshole and then let them loose and slap a female in the face. Like a turkey slap. Also has trances of shit.,"""Funniest thing last night, Kathy had a black eye cause I AAB her when she was on her knees"".",6,10
aab,1967763,aab,Acid butt,"Acidic Anal Burnout - condition where the rectum stings, usualy associated with loose stool and spicy/acidic foods.","I've got the worst case of AAB, no more Thai food for me.",9,13
aarrrgasm,5548721,Aarrrgasm,BenMx33,"n: The act of achieving sexual climax whilst either dressed as a pirate, or watching pirate-themed pornography.","During Pirate's Week in the Cayman Islands, I had the most unbelievable aarrrgasm with this hot little wench... She polished my sword with precision.",12,3
aamf,6970510,AAMF,nigga337,Awkward Ass Mother Fucker,"Two girls on drugs wait for elevator. Green haired fuckface walks in awkwardly as fuck and waits behind us.

girl one: (chuckling)
girl two: (snorting)

Elevator opens. Guy walks in AS AWKWARDLY AS POSSIBLE

girl one: (literally fucking dying of laughter)
girl two: (going to pee her goddamn pants)
AAMF: (akwardly standing in corner. Not laughing like the awkward ass mother fuck he IS)

Elevator opens. Girls run out. Elevator hasn't closed yet

girl two: (screaming) THAT WAS ONE AWKWARD ASS MOTHER FUCKER",6,3
aamf,6519414,AAMF,Pygmy Puff,As A Matter of Fact,"as a matter of fact AAMF, used in sentences.",5,4
aamf,4682060,aamf,Phil the kill,"Always another mother fucker

In call of duty mw2 when you kill a guy but there is another seal right there to kill you","Me: Damn dude i smoke his ass but his punk ass friend was right beside him. i only had 1 more kill for a nuke.

Chris: Shit bro. aamf.",4,3
aaron collado,6833356,Aaron Collado,lololollol12342345678,"Is a halfer. Usually shy and quiet but once you get past the barrier, you'll find someone who's a complete different person. He's loud, weird, funny, sweet, caring and bubbly. He's someone who will say the corniest/sweetest jokes but will still be somewhat funny. He is also very talented. He sings VERY well... ""I LALALALLALALA I DO."" He dances well especially when it comes to dougie-ing. Not only that, but he also plays drums and violin. Aaron is very intelligent; usually a straight A student. He's also a great friend; he's good at listening to your problems, he doesn't judge you, he's a great supporter and will always be there for you. Although people talk about him, he is wanted by MANY women. BILLIONS (not literally) of girls want him because he is so cute but the problem is, he doesn't want any of them. If only he gave those girls a chance, they would be able to see how truly sweet and caring he is. But just a warning, Aaron's not funny ;)) jkjkjk","Aaron Collado: ""______ you're the cutest girl ever""",10,1
aardvark of silence,3159342,Aardvark of Silence,Dawn Coyote,"The Aardvark of Silence is based on one of the Rorschach inkblot images and refers to any post made by a moderator on an internet forum which, while innocuous in content, is interpreted as insensitive, silencing, or mocking of a member or members.

The moderator has no idea when she has posted an Aardvark of Silence, because the Aardvark of Silence is a member's projection onto the hapless moderator her own inner fears and conflicts. There is no way to not post an Aardvark of Silence. The Aardvark of Silence is inevitable.","Member1: I'm feeling happy today.

Moderator: Yay!

Member2: WTF did you mean by that? 

Moderator: Aardvark of Silence.",13,2
aa wank,6230673,AA Wank,AA Bondy,"A variation of the ""danger wank"". This is when you are broken down on the roadside and decide to call the AA for assistance. You then have the time it takes for the AA person to arrive to whack one out. The idea is to do this before said person arrives.","You: ""Dammit I've broken down, down a long stretch of the A43, oh well time to have a AA Wank ;)""

*fap, fap fap fap*

AA: ""Er hello?""

You: ""Don't turn your fog lights on!""",4,1
aarica,2715262,Aarica,AMichelle,"crazy, spontanious, sexy, little ball of fire!",Did you see that chick over there?? She was so aarica!,31,5
aacm,5566705,AACM,A Clubber,"An acronym for ""All Age Club Master."" All age club events occur when a separate venue rents out a night club, and allows any age person to enter, often causing the crowd to be young and immature. An AACM is a person, usually a male, who is an expert at exploiting these all age events for all they are worth. They are masters of grinding, a special type of dancing in which a female rubs her behind on a males genital region. AACM's will target all females, as their goal is to dance with as many females as possible. AACM's take pride in their attire - the typical AACM outfit consists of of a button-down shirt with many of the buttons not actually being buttoned, and stylish jeans that are often adorned with studs, chains, or deep, philosophical quotes on the behind. AACM's utilize Facebook to find all age events, and always click ""attend"" to show just how much of a true AACM they are.",My friend danced with 20 girls last night at the all age event at the hookah bar. He's an AACM!!!,2,1
afzaal,5263624,Afzaal,malve,A person so fat; he cant get his size clothes from market,You could not get clothes from Nike? You are so Afzaal.,3,13
aaraj,2796951,aaraj,rawwwwwrrr,adj. the lame or crippled one.,"guy 1: mannn myles just broke his knee.
guy 2: i aint pushin that aaraj round in a wheel chair!!!!!!!",1,8
aaron rodgers,3267412,Aaron Rodgers,sounds awful,"The new Green Bay Packers starting quarterback who will be under the spotlight after everything he does because he unfortunately has to follow the career of Brett Favre.

Now a term used for being an underdog and having to live up to someone's achievements.","""Your sister has a 4.0?  She Aaron Rodgers'd you in your parents' eyes.  F*** her up.""",255,78
aaron rodgers,3687857,Aaron Rodgers,"david smith, jr.","Favre, his fans, and the media can eat their shit now.

Aaron Rodgers: 341/536 (63.6%), 4,308 yards (7.53 yards), longest 71, 28 touchdowns, 13 interceptions, sacked 34 times, 93.8 passer rating.

Notes: The Packers defense was terrible this year, their o-line not performing well, Ryan Grant struggled, and Greg Jennings/Donald Driver are nowhere near as good as Laveranues Coles and Jerricho Cotchery.

Brett Favre: 343/522 (65.7%), 3,472 (6.65 yards), longest 56, 22 touchdowns, 22 interceptions, sacked 30 times, 81 passer rating.

Notes: Granted Favre had a better completion percentage, his total and average passing yards is noticeably lower than Rodgers (and Favre had a better wide receivers unit). Favre had less touchdowns than Rodgers and more interceptions.

Packers Nation, stop blaming Rodgers for the poor season. If the Packers improve their defense in the offseason, they're going to be the team to watch out for.",Aaron Rodgers > Brett Favre,286,174
aaron rodgers,5666352,Aaron Rodgers,The Mighty Quinn 3000,"The [Green Bay Packers] lead [Quarter Back]. In his first season of actual play, the [Packers] had a 6-10 W-L record. Come his second season, he turned it around and came off with an 11-5 record, although would go on to lose to the [Arizona Cardinals] in the first playoff game. Then in his third season, after numerous injuries and a concussion, he was able to get a 10-6 record which landed them a 6th seed position in the playoffs. After beating the top three teams in the [NFC] [playoffs], he and the [Packers] would go on to play in [Super Bowl XLV]. And after a few more injuries and keeping the lead the entire game, Rodgers and the Packers would go on to win the [Super Bowl] 31-26, beating the [Pittsburgh Steelers]. After the game, [Aaron Rodgers] was named the [MVP] of the [Super Bowl], and then he celebrated with the rest of his team knowing they finally brought the [Vince Lombardi Trophy] back home.","Man, [Aaron Rodgers] had a pretty shaky first season of heading the [Green Bay Packers] for [QB], but come the next few he was able to turn the team around and win them a [Super Bowl] title.",101,20
aaron rodgers,5460809,Aaron Rodgers,Powerfhgj,"A Quarterback for the Green Bay Packers. First to throw over 4000 yards in each of his first two seasons as starter. Doesn't make bad decisions and is the 2nd best running QB in the NFL behind, of course, Michael Vick. Aaron Rodgers was one who many thought would not be able to replace Brett Favre, but in fact has 17 Penises. It can be noted that these penises can turn into anything. ANYTHING. Lucky for your team, he doesn't turn them into dragons. DRAGONS I TELL YOU. DRAGONS!","Person A: Lets count the number of Penises in here. Let's see, 16 males and Lady Gaga. Hmmm....

Person B: Aaron Rodgers.

Pssh, Brett Favre is awesome. Wait, who replaced him? Mega-God Aaron Rodgers.",106,39
aaron rodgers,6861770,Aaron Rodgers,Builtfordtough,"Aaron Charles Rodgers was born on December 2, 1983in Chico, California. He graduated from Chico High School and then University of California, Berkley. Aaron plays professional football for the Green Bay Packers. Off season, he likes to play golf, work out with his brothers (Luke and Jordan), travel, and go to Milwaukee Brewers games. He and Clay Matthews, a linebacker fornthe Green Bay Packers, are good friends and hang out often. Aaron is not married, but likes redheads. He is often seen in the ""Discount Double Check"" State Farm commercials. He drives a Ford F150, and likes to visit his summer home in San Diego. He's a beautiful boy :)","Person 1: who's that hottie playing for the packers?
Person 2: oh, you dont know? Its thier quarterback, aaron rodgers! Isnt he cute?!",18,8
aaron rodgers,3269583,Aaron Rodgers,Bob Abnovsky,"Backup Quarterback for the Green Bay Packers of the NFL from 2005 season until 2007 season.

With the retirement of Brett Favre, long time starter and iron man in March of 2008, Aaron Rodgers was named starter.

Favre announced his return in July of that year however causing much controversy as the Green Bay Packers organization had claimed to stick with Rodgers as starter of the team at Quarterback.

Brett Favre ended up being traded to the New York Jets, mainly do to Rodgers.

Aaron Rodgers as of August 2008 has had very limited play time in the NFL completing 35 of 59 passes for 329 yards with 1 TD and 1 INT.

Many people had begun to criticize him as he can never truly replace Brett Favre.","Aaron Rodgers will never be better than Brett Favre

Aaron Rodgers is destined to be a mediocre quarterback probably becoming a journeyman going from team to team

Aaron Rodgers is a nobody and never will be of any significance as Quarterback in the NFL",52,277
aa royalty,612088,aa royalty,Gumba Gumba,"The people who have been coming to alcoholic's anonymous meetings for so long, that they are considered royalty among eachother.",I hate the aa royalty.,120,51
aabha,4130630,Aabha,Stufus,"It means light, radiance and beauty.",That candle is sooo pretty its so Aabha!,10,1
angry aardvark,2389018,angry aardvark,James Rogers,"While performing vigorous oral sex on a woman, you miss and slide your tongue up her ass, the giver becoming the angry aardvark",Mike wouldn't eat pussy anymore after pullin' that angry aardvark on Lisa,28,11
aave,1991182,AAVE,John Beatty,African American Vernacular English.  Also known as ebonics.,That man tands to speak AAVE which i find difficult to understand.,86,22
aarohi,1205578,aarohi,kachroo,d latest phenomenon in noida.,aarohi is great.the greatest actually.,20,24
aboo abaa,3067607,aboo abaa,Eddie Ritchie,A saying that turns pat on and makes him hard n happy,"me..""Hey pat! aboo abaa""

pat..""Wow that cheered me up, it's like being back in third year...i think i got a stiffy!""",1,0
aaron gardner,7202468,aaron gardner,RawrGoesEwin,Aaron Gardner means the most to me .. He's the most cutest person on this earth I love him so much his brown eyes are so amazing I just wanna snuggle him forever and everrr.. He makes me happy if I'm upset or mad he's funny and sweet<3 I love you Aaron<3,Erin Donnelly loves Aaron Gardner,2,1
anal aardvarks,7105490,Anal Aardvarks,MikeyG4753,"A sex game played between two or more people when the ""Aardvark"" grunts while licking the others anus while flicking their tongue in an ""aardvark-like"" motion.","Andrew: ""Hey Carly, wanna play [Anal] [Aardvarks]?""

Carly: ""Like, OMG! I love anal aardvarks!!! I was just about to ask you the same thing!!!""

Andrew: ""Snaaaaaaaaaaake, Imma snaaaaaake. Imma [slippery], [slithery], [sneaky] aardvark snaaaaaaaaaaake""

Carly: ""Shutup and [aardvark] me now!""",7,0
archanaa,7092153,archanaa,nightingale518,"the best girl you'll ever meet
loyal and honest","that girl is so hot
- she must be an archanaa",2,0
aaron black,5814680,Aaron Black,dfyrfgjhgsffgnfgn,Invented peanut-butter and the television.,"David: Hey who invented the television?
Aaron Black: Me, I also invented peanut-butter.",4,0
aaja,2561791,aaja,Turd de la Mer,Come.  An Hinglish word (Hindi/English).,"Jimmy aaja, jimmy aaja.  Such as in the song ""Jimmy"" by M.I.A",15,5
aalyia,6665678,Aalyia,babbalabbafan,"An Aalyia is usually tall and has very good manners. They are usually of Indian or Arabic decent and have long black hair, they look much older then they actually are. They are very beautiful and have clear skin with mild acne around the hairline...they arent naturul though. Aalyias make good friends but are very secretive and have that one girl that they absoulutley hate. They act like they are very rich but usually owe a lot of debt. They have a family that is an exact replica of the Kardashians. Aalyias will never let you down and always have your back no matter what...they dont make good girlfriend material though since they are very independent people. They also make good business women.","rich girl 1: wow that aalyia is soo rich look at all her clothes and her house lets ask her to go shopping

aalyia: ooh i love this $4300 gucci dress

meanwhile moms at home looking at all the $100 000 debt bills",11,3
aaaaaaaaaaaaaaaaaaaaaahhhhhh!!!,5945126,AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!,YirosNob,"Everyday word for any situation. Typically builds up e.g. aaaaaAAAAAAHHHHH!!!! and is usually accompanied by an overall shaking with arms raised and head back.

Can represent frustration, enlightenment, joy, excitement, outrage and relief.","Example 1
Person 1: ""Hey so you're Greek, do you speak Italian??""
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""

Example 2
Person 1: ""Yeah I can't believe he only has one shirt, I've got hundreds that I don't even wear haha""
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""
Note - In this case Person 1 is a bit of a twat

Example 3
Person 1: ""Dude you finally tapped that""
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""

Example 4
Person 1: *Slow rolls in a game of poker
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""

Example 5
Person 1: *Dances (very poorly) after beating Person 2 in a game of fifa
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""",29,11
aaaaaaaaaaaaaaaaaaaaaahhhhhh!!!,5945126,AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!,YirosNob,"Everyday word for any situation. Typically builds up e.g. aaaaaAAAAAAHHHHH!!!! and is usually accompanied by an overall shaking with arms raised and head back.

Can represent frustration, enlightenment, joy, excitement, outrage and relief.","Example 1
Person 1: ""Hey so you're Greek, do you speak Italian??""
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""

Example 2
Person 1: ""Yeah I can't believe he only has one shirt, I've got hundreds that I don't even wear haha""
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""
Note - In this case Person 1 is a bit of a twat

Example 3
Person 1: ""Dude you finally tapped that""
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""

Example 4
Person 1: *Slow rolls in a game of poker
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""

Example 5
Person 1: *Dances (very poorly) after beating Person 2 in a game of fifa
Person 2: ""AAAAAAAAAAAAAAAAAAAAAAHHHHHH!!!""",29,11
aaron aaronson,3775202,Aaron Aaronson,Hank von Helvete,"To make a 'booty call' to that girl you had a one night stand with that time, (whose name you couldn't remember) so you just pressed the letter 'a' a few times when it came to putting her in your phonebook - meaning she will be first alphabetically (as would anyone called 'Aaron Aaronson).","Paul: Man, I'm in need of some female company, I might give Aaron Aaronson a call.  I couldn't remember her name, so in the morning when we swapped numbers I just pressed 'A' a few times on my phone, so in my phonebook she'll be first in the list.
[booty] [one night stand]",18,20
ali saatchi,5740482,Ali Saatchi,Jason Bardones124,"Someone who is medium height, tan, nice and a great guy. He can always be relied on and will never let you down. He is also extremely funny. He is known for starting many jokes and has many inside jokes. He is sometimes associated with a bear or a dog.","Haha, thats so funny, your such an Ali Saatchi.",3,10
aasimar,1173574,Aasimar,Megan,In the RPG Dungeons and Dragons Aasimar are a race of beings that are hybrids of mortal and a celestial.  Aasimar are less than half celestial.,Mike's character is a third level Aasimar cleric.,31,5
aasimar,802420,Aasimar,smurf,"Aisimars are the descendents of a union between mortals and celestial beings, and they carry some trace of their devine heritage.","Most Aasimars are fitted to become someone who helps people, like a paladin, or cleric.",42,16
aasimar,1167700,Aasimar,FRIDIZZYYAO,The name of any arab that works at the 7/11.,Hello asimar.  go back to your country sandnigger,7,68
aaaaaaaaah!,4723825,aaaaAAAAAh!,MacEoghainn,"Literlly translated means ""[Thats what she said]."" is said with a upwards inflection and is high pitched and short. Used correctly, it makes a moment even better than using the overly-used term:""[thats what she said]""","Mike: Can it really be that big?
Jim: aaaaAAAAAh!",2,5
asmaa,4725798,asmaa,aekimie,"- Beautiful, fit and skinny
- Effortless beauty
- Gorgeous with a thousand watts smile",""" OMG, look at her. She's so asmaa! I'm so jealous. How can someone get so beautiful!""
"" Life isn't fair...""",150,38
asmaa,5293432,Asmaa,Stephanus,"Derived from the Arabic god ""Al-‘Uzzá"", the goddess of fertility, the name Asmaa is meant to symbolise a young and fertile woman ready to be welcomed into the world of polygamy (as is the tradition in Middle Eastern countries such as Egypt or Iraq). In modern terms, the word Asmaa is used to descibe someone who 'sleeps around' or and is thus prone to getting pregnant, hence the god of fertility. It is commonly used by men to describe a girl found to be sleeping with many men.","Jay-Jay: Hey, I just hooked up with this absolutely stunning girl last night.
T-bone: What was her name?
Jay-jay: Asmaa, why?
T-bone: Well... sorry man but I did too.
Jay-jay: WHAT!? What an Asmaa!",32,69
aalesund,5669841,Aalesund,noobminator,"-A shore City in Norway.
-Contains fish, people and a majority of pidgeons, seagulls and boats.
-It burned to the ground once, but there was a ritch german that loved the city so much that he founded the rebuilding of it.
-The people there is known for having the worst Norwegian in history.","Hey, am from Aalesund! Ikke bakke bokke bikke, bakke bo! hahaha",5,2
aarish,5284457,Aarish,mmmyyrraa,"a tall dark and handsome looking guy/ someone creative and imaginative.
Pronounced (aw-rish)","Me: ""gosh, can't that kid be more like an Aarish??""
Jack: ""I know...that would be amazing...""

John: ""I can't think of any ideas...""
James: ""come on just try try to pull an Aarish!""",20,3
aau,3100202,AAU,kobeshitsonlebron,"Amateur Athletics Union. Basically an extra league for most sports such as basketball, baseball, and other sports. Usually for really good players that are trying to get looked at by scouts. AAU teams enter different tournaments for their sport and at least for basketball, enter showcases.","I play AAU basketball and entered the Hardwood Classic.

I play AAU baseball, which isnt as fun as basketball.",57,15
aarena,5207618,Aarena,KaTiEiSmYcAt,"Aarena is a great and loving friend that cares alot about all of her friends. In Aarenas eyes all are equal, if your a hobo she still cares about you as much as if you were the president of the U.S. Aarena only lets a friend go if you betray her.

If you ever find an Aarena DON'T LET THEM GO!!!!!!! Trust me you will regret it.",I just love Aarena!!!!,2,1
ahh ahh haaashoooo,3506466,Ahh Ahh Haaashoooo,Mr C Hooer,"when I watched my first ever porno video it was an old 1970's one, and that is the exact phrase the male co star said as he withdrew his penis and squirted his man juice over his female partner","""Oh Baby yeah..... Ahh Ahh Haaashoooo!!!!"" he cried as he came all over his female co-star",4,5
aaight den,4844486,aaight den,Dizzle240,To agree with. Giving the ok.,"Tim: I'll be waiting on your ass in the parking lot.
Bob: Aaight den!",8,4
adh aadmi,2853229,adh aadmi,Satayjit Roy,"[gay] man\men, [homosexual] man\men

Origin: [Hindi] word meaning ""half man""","I think that guy is an adh aadmi.

Let's not talk about adh aadmis.",0,2
aardvarks nose,975340,aardvarks nose,Johnboy,An uncircumcised cock.,Can you sweep the floor with that sir?,51,36
aardvarks nose,1197545,aardvarks nose,mrprestwick,when someone has a nose that is fucking huge,damn gurl u have an aaardvarks nose go get some plastic surgery then ill think of fucking ya!,6,33
aabacob,1858832,aabacob,Kelsey and Katherine,A very large ear of corn,Kelsey and Katherine eat aabacob every night before bed.,6,6
aaaaaayyyyyyyyyy!,664632,Aaaaaayyyyyyyyyy!,Rodney Basil,"Arthur Fonzarelli's (or Fonzi's) way of saying ""Hello, nice to see you."" The same as the '90s/'00s' ""Wassup?!"".","Aaaaaayyyyyyyyyy, Ron Howard!",208,67
aaron hrozencik,4521751,Aaron Hrozencik,Chadbro Chillin,"A scholar of the code of ethics developed by Rick Ross in his debut album ""Port of Miami."" Generally, Aaron Hrozencik's will be of great intellect with a keen sense of the true conception of the Nutt as developed by John Rawl's in his seminal masterpiece ""The Theory of the Nutt.""","""Wow, that guy has an impressive conception of the Nutt, he must be an Aaron Hrozencik sort of fellow.""",9,4
aa cup,3944811,aa cup,asd324,"The smallest possible breast size.

Measuring less than 1 inch difference between the bust and the below bust (band) measurments.",aa cup is basically a training bra.,62,25
aaliz,7749700,Aaliz,The Abyss Walker,Dis the nigga that blows errathang . Dis Nigga azz hoe could suck a golf ball through a coffe straw coated in peanut butter. But she a hella good friend! And no matter da shit you go through they will be there for you.,Dat nigga Aaliz is french af.,0,1
aaliz,7749701,aaliz,Fuck my face22,she wanted a definition so bad so fuck that bitch,"person 1: i want my name on urban dictionary
person 2: fuck u Aaliz",0,2
aardvark ass,7411505,aardvark ass,uncle meatster,An ass that has been waxed clean of hair,"That chick has aardvark ass.
She waxes her ass
Not even baby hairs on her ass",3,2
aao,3236821,aao,[Tomppa],Short for: a game called America's army Ops,"Hey, guys let's play aao.",5,1
aao,2921380,AAO,idk349532,A clan from the clan game [runescape] They like to [flame] people on urbandictionary because they have nothing else to do. They usually close down and then ten minutes later they re-open. AAO stands for against all odds.,"Person 1: Did you hear that AAO closed down again?
Person 2: Yea, but it re-opened again this morning.
Person 1: Wow! I am so surprised! (Sarcasm)",10,10
aao,2707571,AAO,AAO,"A writer for urban dictionary has also who has also defined [As Told By Ginger], [Hippies], and [A House is not a motel] how should I know because I am AAO",Man AAO's definitions are so lame,6,12
ayaan hirsi ali,2473468,Ayaan Hirsi Ali,The Moody Poet,"[African] [Feminist] who stood up and risked her life for what she believed in. A [hero]!

Ayaan Hirsi Ali is a [martyr]!

Ayaan Hirsi Ali wrote a book called, [Infidel], turned her back on [Islam] and told the world the truth about [The Prophet Muhammad].

Ayaan Hirsi Ali is widely hated in the Muslim world, but is highly respected and loved all over the world.","Ayaan Hirsi Ali is a brave [woman] who is laying down her life and standing up to a system of beliefs that believes that it cannot be questioned. Ayaan Hirsi Ali is my hero!

Ayaan Hirsi Ali is highly awarded and respected all over the world for [freedom of speech] and [freedom of spirit].",71,60
aichi gaand,258305,aichi gaand,ashwani fucker,mother's ass,government chi aichi gaand!,12,13
aarika's mom,2688286,Aarika's Mom,boby long,"A woman who didt know how to spell the name the right way, and thought that giving her a name spelled like that would make her sound smart.","it's a girl, what do you want to name her, i dont know something no one can read right the first time , i know Aarika. That way when they call for aarika's mom i dont have to stand up and say she's mine.",9,15
aaron stretches,3069486,Aaron Stretches,Sir Uncealot,A stretch one performs prior to masturbation to prevent awful forearm cramps.  Also called Rene Stretches.,"Wow, I pulled a muscle wanking it last night... I should have done some Aaron Stretches first!",2,0
aaron stretches,3009948,Aaron Stretches,Sir Uncealot,A stretch one performs prior to masturbation to prevent awful forearm cramps.  It is usually done by holding the arm straight out and pulling the fingers back over the arm.,"Wow, I pulled a muscle wanking it last night... I should have done some Aaron Stretches first!",1,0
aaron lies,3852491,aaron lies,dfbadif,aaron lies to momo way to much,"Im aaron and i lie to Momo way to much.
aaron lies",2,9
aaronize,5864815,aaronize,sexmaster6969,"when, in an attempt to improve a project or assignment, one continually makes said project worse until it fails horribly, attempting and failing to correct each new problem created by aaronizing","I'm gonna make this project better!

Oh, no. He's gonna aaronize this...",12,55
aaaaaaaaaaaaaaaaaaaaaaa,6069937,aaaaaaaaaaaaaaaaaaaaaaa,ahhahhaahhahahhahhahhhahhahahh,"You got bored and typed ""aaaaaaaaaaaaaaaaaaaaaaa"" into the search bar.","I'm so fucking bored I pressed the ""a"" button on my keyboard down for 3 whole seconds:

Aaaaaaaaaaaaaaaaaaaaaaa...*chuckles*",111,22
aaaaaaaaaaaaaaaaaaaaaaa,6069937,aaaaaaaaaaaaaaaaaaaaaaa,ahhahhaahhahahhahhahhhahhahahh,"You got bored and typed ""aaaaaaaaaaaaaaaaaaaaaaa"" into the search bar.","I'm so fucking bored I pressed the ""a"" button on my keyboard down for 3 whole seconds:

Aaaaaaaaaaaaaaaaaaaaaaa...*chuckles*",111,22
aadorn,3852596,Aadorn,thanewphreshprince',"the word used in mien for ""son"" or ""young boy""","""Come here aadorn""",5,2
aaaney,2890794,Aaaney,Garot Michavock,To describe someones behavior as atrocious or out of spite.,"""Aww man that bitch is aaaney""",2,0
aashni,5239360,Aashni,zeedree,Sanskrit name meaning thunder and lightening.,wow! Aashni is such a pretty name!,9,5
aali,6026646,Aali,abbygirlx,"Something so ugly that even an anand would say ""damn, that's gross."" Or, something so gross you wouldn't touch it with a shitty stick. An aali is the most disgusting thing you could ever imagine.

A troll. A being that lives, or lived under a bridge or in a sewer system.","""Eww! I touched my cats shit and got aali all over my fingers""",7,32
aarugah,3708422,Aarugah,GramZ,Sound made by a diving submarine back in the 1950's. Word morphed into Oorah which is exclaimed by The Marines during Battle.,GramZ shouted Aarugah to the other marines and turned it into Oorah to exclaim!,2,1
aaronism,4348135,Aaronism,CaptainAwersome,"1. A witty and infectious saying, quote, mannerism as mastered by Aaron. Originally used to describe the mannerisms and colloquial language of Aaron the brother of moses. Also sometimes called Aaron the Levite (אהרֹן הלוי) (Exodus 6:16-20)[2] who represented the priestly functions of his tribe, becoming the first High Priest of the Israelites. In modern history the term is more readily used to describe the poorly imitated mannerisms, language, and humor of Aaron of Surry.","""Linzie was that an Aaronism, or did you just copy it off someone else?""",14,3
aandwa,3031919,Aandwa,Ghapaghap Ghusade,means male penis in Marathi lingo now adapted in Mumbai Hindi street lingo.,Mera aandwa 7 inch lumba hai (My penis is 7 inches long),2,5
amanda maar,3281582,Amanda Maar,~Darla~,Totally awesome sweet amazing person. The kinda person you can always count on no matter what. They are very clumsy but hilarious!,"""Aww man dude she just pulled an Amanda Maar haha""",1,4
phemonaaamal,5357998,Phemonaaamal,Chobonashu,"Based off the word 'Phenomenal', Phemonaaamal (Fehm-oOoh-naaa-maAl) is defined as highly extraordinary or intriguing; However, adds the x-factor being which is the crack element. The crack element creates a sarcastic-like feel to the word when presented. It makes the conversation more lively and jubilant. It is recommended to use one's ""thizz face"" whilst pronouncing the name to make the word more enthusiastic.",That's absolutely phemonaaamal!,0,0
piaac,2364946,PIAAC,Brittani Ann Kuhl,"1.  Partners In Action And Crime
2.  Prostitutes In Anally Active Conditions","The world is in danger, summon the PIAAC to help!

God I'm horny, I'll call the PIAAC!",4,2
paarth,6706163,Paarth,mirri,"The most luckiest guy you'll come across. Most likely to be asian. He has noticeably good looks ,with black soft hair,and a nice complexion.He has it all ,adored by all,handsome,smart,but never arrogant.He has many friends who love him because of his good natured ways; caring,hilarious,and generous.He doesn't need to flirt since his humour and carefree manner will seduce you. In other words he is truly blessed.In his life he will grow and florish to be a mature wise man but inside he will always remain a cheerful child.He has about him a sense of warmth ,class and knowledge and it is this that many will find attractive and admire.","""Obviously I am too good looking ,gaze at my beauty""
""Yeah whatever paarth""",39,10
paarth,5263280,Paarth,babyinthebronx,dumbass fucktart who thinks she has what it takes and has no life,"Man 1 : I hate that kid!
Man 2 : What a Paarth!",23,43
paarth,3041971,Paarth,Mooginja,Brown Man whom likes to be brown. and is a Vegietarian.,Paarth you are the brownest guy i know!,25,53
